mapName,scenFile,agentNum,seed,shieldType,success,total_cost_true,total_cost_not_resting_at_goal,num_agents_at_goal,runtime
random-64-64-20,data/scen-random/random-64-64-20-random-11.scen,300,0,CS-PIBT,True,19569,16550,300,0.495
maze-32-32-4,data/scen-random/maze-32-32-4-random-22.scen,300,0,CS-PIBT,False,65362,48340,289,1.753
random-64-64-20,data/scen-random/random-64-64-20-random-13.scen,100,0,CS-PIBT,True,5292,4859,100,0.132
maze-32-32-4,data/scen-random/maze-32-32-4-random-8.scen,200,0,CS-PIBT,False,19736,16281,197,1.115
maze-32-32-4,data/scen-random/maze-32-32-4-random-23.scen,300,0,CS-PIBT,False,73453,46915,278,1.755
random-64-64-20,data/scen-random/random-64-64-20-random-13.scen,200,0,CS-PIBT,True,12179,10566,200,0.285
random-64-64-20,data/scen-random/random-64-64-20-random-14.scen,100,0,CS-PIBT,True,5183,4743,100,0.148
maze-32-32-4,data/scen-random/maze-32-32-4-random-24.scen,300,0,CS-PIBT,False,48593,34638,297,1.698
Berlin_1_256,data/scen-random/Berlin_1_256-random-7.scen,900,0,CS-PIBT,True,195586,164000,900,5.331
random-64-64-20,data/scen-random/random-64-64-20-random-12.scen,400,0,CS-PIBT,True,26586,23255,400,0.568
maze-32-32-4,data/scen-random/maze-32-32-4-random-4.scen,300,0,CS-PIBT,False,45592,34238,292,1.580
Berlin_1_256,data/scen-random/Berlin_1_256-random-6.scen,1000,0,CS-PIBT,True,222834,190245,1000,5.938
maze-32-32-4,data/scen-random/maze-32-32-4-random-25.scen,300,0,CS-PIBT,False,54859,40130,293,1.726
maze-32-32-4,data/scen-random/maze-32-32-4-random-6.scen,300,0,CS-PIBT,False,44329,34404,298,1.580
Berlin_1_256,data/scen-random/Berlin_1_256-random-8.scen,900,0,CS-PIBT,True,200651,170918,900,5.151
maze-32-32-4,data/scen-random/maze-32-32-4-random-3.scen,300,0,CS-PIBT,False,61379,46091,295,1.744
Berlin_1_256,data/scen-random/Berlin_1_256-random-9.scen,800,0,CS-PIBT,True,168602,146666,800,4.559
random-64-64-20,data/scen-random/random-64-64-20-random-14.scen,200,0,CS-PIBT,True,11402,10109,200,0.289
